                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.7157,                 1.9462,                 1.5638,                0.40041,                0.39088,                0.32076,                0.16094,                 2.0424,                 2.3125,                 1.7791,                0.00505,                0.00505,                0.00505
                     52,                 1.7326,                 1.9479,                 1.5577,                 0.3371,                0.40998,                  0.304,                0.15982,                 2.0273,                 2.3036,                 1.7508,               0.004951,               0.004951,               0.004951
                     53,                 1.7333,                 1.9491,                 1.5661,                0.37362,                0.33425,                0.29766,                0.14638,                 2.0565,                 2.2857,                 1.7479,               0.004852,               0.004852,               0.004852
                     54,                 1.7091,                 1.8923,                 1.5408,                0.42528,                0.38773,                0.34502,                 0.1908,                 2.0462,                 2.2677,                 1.7433,               0.004753,               0.004753,               0.004753
                     55,                 1.6956,                 1.8697,                 1.5298,                0.35854,                0.34239,                0.30842,                0.15366,                  2.066,                 2.2437,                 1.7467,               0.004654,               0.004654,               0.004654
                     56,                 1.7013,                 1.8707,                 1.5374,                0.35313,                0.35007,                0.31661,                0.15521,                 2.0923,                 2.2214,                 1.7982,               0.004555,               0.004555,               0.004555
                     57,                 1.6768,                 1.8388,                 1.5126,                0.42264,                 0.3593,                0.34834,                0.17475,                 2.0248,                 2.1879,                 1.7324,               0.004456,               0.004456,               0.004456
                     58,                  1.689,                 1.8295,                 1.5155,                0.43585,                0.35285,                0.32466,                0.16404,                  2.085,                  2.268,                 1.7609,               0.004357,               0.004357,               0.004357
                     59,                 1.6878,                 1.8312,                 1.5102,                0.37184,                0.41584,                0.33596,                0.17897,                 2.0457,                 2.2063,                  1.754,               0.004258,               0.004258,               0.004258
                     60,                 1.6871,                 1.8388,                  1.519,                0.42759,                0.36566,                0.33661,                0.17145,                  2.067,                  2.187,                 1.7731,               0.004159,               0.004159,               0.004159
                     61,                 1.6621,                 1.8088,                 1.5044,                0.40985,                0.34125,                0.32954,                0.16979,                 2.0255,                 2.1916,                 1.7344,                0.00406,                0.00406,                0.00406
                     62,                 1.6478,                 1.7901,                 1.4916,                0.40937,                0.35857,                0.33447,                0.17262,                 2.0447,                 2.1996,                 1.7398,               0.003961,               0.003961,               0.003961
                     63,                 1.6372,                 1.7674,                 1.4847,                0.44597,                0.31598,                0.31452,                0.16025,                  2.026,                  2.218,                 1.7608,               0.003862,               0.003862,               0.003862
                     64,                 1.6522,                 1.7767,                 1.4861,                0.39499,                0.44165,                0.36034,                0.18788,                 2.0856,                 2.2585,                 1.7885,               0.003763,               0.003763,               0.003763
                     65,                 1.6406,                 1.7548,                 1.4808,                0.47715,                0.38997,                0.38441,                0.20252,                 2.0071,                 2.1618,                 1.7225,               0.003664,               0.003664,               0.003664
                     66,                 1.6306,                 1.7364,                 1.4839,                0.49004,                0.39029,                0.37931,                0.19666,                  2.037,                 2.1659,                 1.7454,               0.003565,               0.003565,               0.003565
                     67,                 1.6304,                 1.7259,                 1.4814,                 0.3981,                0.41456,                0.34966,                0.17489,                 2.0487,                 2.1882,                 1.7411,               0.003466,               0.003466,               0.003466
                     68,                 1.6253,                 1.7096,                 1.4694,                0.46198,                0.42064,                0.39768,                0.22202,                 2.0233,                 2.2237,                 1.7482,               0.003367,               0.003367,               0.003367
                     69,                 1.6216,                 1.6873,                 1.4636,                0.47636,                0.37068,                0.36576,                0.19412,                 2.0386,                 2.1616,                 1.7442,               0.003268,               0.003268,               0.003268
                     70,                 1.5784,                  1.667,                 1.4407,                0.47823,                0.38742,                0.35048,                0.18804,                 2.0243,                 2.1492,                 1.7117,               0.003169,               0.003169,               0.003169
                     71,                 1.5967,                 1.6783,                  1.447,                0.41362,                0.42768,                0.38048,                0.19877,                 2.0789,                 2.1029,                 1.7835,                0.00307,                0.00307,                0.00307
                     72,                 1.5735,                 1.6262,                   1.44,                0.42739,                0.41685,                0.38217,                0.20892,                 2.0259,                 2.1372,                 1.7509,               0.002971,               0.002971,               0.002971
                     73,                 1.5982,                 1.6432,                  1.448,                0.47368,                0.37841,                0.37502,                0.20505,                   2.02,                 2.1295,                   1.75,               0.002872,               0.002872,               0.002872
                     74,                  1.582,                   1.65,                 1.4418,                0.48056,                0.37185,                0.37681,                0.21018,                 2.0385,                 2.1444,                   1.74,               0.002773,               0.002773,               0.002773
                     75,                 1.5821,                 1.6244,                 1.4364,                0.45875,                0.37587,                0.35416,                0.19022,                 2.0452,                 2.1402,                 1.7305,               0.002674,               0.002674,               0.002674
                     76,                 1.5496,                 1.6174,                 1.4339,                0.49186,                0.37092,                0.36115,                0.20505,                 2.0551,                 2.1119,                 1.7538,               0.002575,               0.002575,               0.002575
                     77,                 1.5587,                 1.5863,                 1.4226,                0.50252,                0.44868,                 0.4074,                0.22471,                 2.0371,                  2.121,                 1.7586,               0.002476,               0.002476,               0.002476
                     78,                 1.5561,                 1.5617,                 1.4205,                0.52527,                0.39748,                0.40993,                 0.2317,                 2.0158,                 2.0956,                 1.7321,               0.002377,               0.002377,               0.002377
                     79,                 1.5571,                 1.5847,                 1.4258,                0.49137,                0.42243,                0.38694,                0.20924,                 2.0493,                 2.1339,                 1.7567,               0.002278,               0.002278,               0.002278
                     80,                 1.5273,                 1.5672,                 1.4136,                  0.479,                0.42887,                0.39947,                0.22116,                 2.0093,                  2.168,                 1.7561,               0.002179,               0.002179,               0.002179
                     81,                 1.5392,                 1.5509,                 1.4128,                0.42721,                 0.4043,                0.38153,                  0.204,                  2.055,                 2.1266,                 1.7435,                0.00208,                0.00208,                0.00208
                     82,                 1.5168,                 1.5413,                 1.4083,                0.50799,                0.40276,                0.39874,                0.21568,                 2.0439,                 2.1006,                 1.7762,               0.001981,               0.001981,               0.001981
                     83,                 1.5231,                 1.5203,                 1.3998,                0.54176,                0.38184,                0.41842,                0.22995,                 2.0307,                 2.1074,                 1.7605,               0.001882,               0.001882,               0.001882
                     84,                 1.5244,                 1.5346,                 1.3996,                0.49791,                0.39005,                0.42661,                 0.2433,                 2.0402,                 2.1043,                 1.7645,               0.001783,               0.001783,               0.001783
                     85,                 1.5046,                 1.5073,                 1.3911,                0.51291,                0.40287,                0.39678,                0.21732,                  2.037,                 2.1244,                 1.7647,               0.001684,               0.001684,               0.001684
                     86,                  1.502,                 1.4778,                 1.3922,                0.51812,                0.39329,                0.39582,                0.22258,                 2.0515,                  2.137,                 1.7713,               0.001585,               0.001585,               0.001585
                     87,                 1.4948,                 1.5031,                  1.389,                0.46591,                0.46181,                0.42883,                0.24453,                 2.0563,                 2.1229,                 1.7709,               0.001486,               0.001486,               0.001486
                     88,                 1.4759,                 1.4736,                 1.3817,                 0.4778,                0.37841,                 0.3987,                0.22415,                 2.0688,                 2.1136,                  1.779,               0.001387,               0.001387,               0.001387
                     89,                 1.4838,                 1.4656,                 1.3666,                0.47674,                0.42874,                0.42562,                0.24442,                 2.0896,                 2.1126,                 1.7895,               0.001288,               0.001288,               0.001288
                     90,                  1.464,                 1.3972,                 1.3981,                0.49827,                0.39474,                0.40154,                0.22734,                 2.0929,                 2.1554,                 1.7927,               0.001189,               0.001189,               0.001189
                     91,                 1.4362,                 1.3549,                 1.3868,                0.51488,                0.41012,                0.42867,                0.23706,                 2.0926,                 2.1357,                 1.7951,                0.00109,                0.00109,                0.00109
                     92,                 1.4248,                 1.3208,                 1.3844,                0.50065,                0.41079,                0.42497,                0.23927,                  2.089,                 2.1397,                 1.7834,               0.000991,               0.000991,               0.000991
                     93,                 1.3989,                 1.2974,                 1.3622,                0.55008,                0.40776,                0.43449,                0.24383,                 2.0919,                 2.1005,                 1.7972,               0.000892,               0.000892,               0.000892
                     94,                 1.4087,                 1.2955,                 1.3758,                0.50363,                0.44094,                  0.431,                0.24453,                 2.1174,                 2.1155,                 1.8054,               0.000793,               0.000793,               0.000793
                     95,                 1.3959,                 1.2619,                   1.35,                 0.5347,                0.41045,                0.43072,                0.24947,                 2.0686,                 2.1022,                 1.7877,               0.000694,               0.000694,               0.000694
                     96,                 1.3993,                 1.2753,                  1.367,                0.53754,                0.43493,                0.42802,                0.23921,                 2.0623,                 2.1025,                 1.7801,               0.000595,               0.000595,               0.000595
                     97,                 1.3893,                 1.2787,                 1.3561,                 0.5007,                0.40976,                0.41609,                0.23715,                 2.0764,                 2.1243,                  1.773,               0.000496,               0.000496,               0.000496
                     98,                 1.3623,                 1.2343,                 1.3373,                0.48226,                 0.4513,                0.42999,                 0.2445,                 2.0781,                 2.1096,                 1.7849,               0.000397,               0.000397,               0.000397
                     99,                 1.3749,                 1.2359,                 1.3484,                0.52023,                0.42494,                 0.4273,                0.24792,                  2.073,                 2.1173,                  1.779,               0.000298,               0.000298,               0.000298
